planet_name,planet_orbit,distance
HD 152581 b,686.5,165.76
HD 152843 b,11.6264,107.898
HD 152843 c,24.38,107.898
HD 15337 b,4.75615,44.8155
HD 15337 c,17.1784,44.8155
HD 153557 b,7.29903,17.9412
HD 153557 c,15.27018,17.9412
HD 153557 d,40654.64809,17.9412
HD 153950 b,499.39999,48.4549
HD 154088 b,18.56,18.2692
HD 154345 b,3341.55884,18.284
HD 154391 b,5163,100.947
HD 154672 b,163.94,63.0484
HD 154857 b,408.60001,63.4482
HD 154857 c,3452,63.4482
HD 155193 b,352.65,57.7995
HD 155358 b,194.3,43.6197
HD 155358 c,391.9,43.6197
HD 155918 b,1.87567,27.561
HD 155918 c,17202.19446,27.561
HD 156098 b,21.85849,48.249
HD 156098 c,7841.5839,48.249
HD 156279 b,133.40355,36.1945
HD 156279 c,4818.25358,36.1945
HD 156411 b,842.2,56.8655
HD 156668 b,4.6455,24.3323
HD 156668 c,811.3,24.3323
HD 156846 b,359.51001,47.7332
HD 158038 b,521,94.8625
HD 158259 b,2.178,27.0498
HD 158259 c,3.432,27.0498
HD 158259 d,5.1980814,27.0498
HD 158259 e,7.951,27.0498
HD 158259 f,12.028,27.0498
HD 158996 b,820.2,283.659
HD 15906 b,10.924709,45.5621
HD 15906 c,21.583298,45.5621
HD 159243 b,12.62,73.3055
HD 159243 c,248.4,73.3055
HD 159868 b,1184.1,55.8503
HD 159868 c,351,55.8503
HD 1605 b,577.2,88.8047
HD 1605 c,2149,88.8047
HD 160691 b,645,15.5981
HD 160691 c,3947,15.5981
HD 160691 d,9.6392,15.5981
HD 160691 e,307.9,15.5981
HD 161178 b,279.3,107.188
HD 16141 b,75.523,37.7861
HD 16175 b,990,59.859
HD 162020 b,8.4282,30.8248
HD 163607 b,75.2203,67.7855
HD 163607 c,1272,67.7855
HD 16417 b,17.24,25.3936
HD 164509 b,280.17,53.1119
HD 164595 b,40,28.254
HD 164604 b,641.472,39.3633
HD 164922 b,1207,22.0016
HD 164922 c,75.74,22.0016
HD 164922 d,12.458,22.0016
HD 164922 e,41.763,22.0016
HD 165131 b,2342.6,57.4263
HD 165155 b,434.5,63.3574
HD 1666 b,270,117.908
HD 166724 b,5144,45.1342
HD 167042 b,417.67,49.6633
HD 167677 b,1820,54.3258
HD 167768 b,20.6532,107.214
HD 168009 b,15.1479,23.3032
HD 168443 b,58.11187,39.6245
HD 168443 c,1753.1096,39.6245
HD 168746 b,6.404,41.5681
HD 168863 b,14773.93272,39.8979
HD 1690 b,533,752.615
HD 16905 b,10256,39.7401
HD 169142 b,,113.6
HD 169830 b,225.67372,37.6048
HD 169830 c,1818.82339,37.6048
HD 170469 b,1145,60.178
HD 17092 b,359.89999,228.422
HD 171028 b,550,111.659
HD 171238 b,1532,44.8113
HD 17156 b,21.21663,78.0863
HD 173416 b,322.03,132.184
HD 174205 b,582,234.027
HD 175167 b,1175,71.0863
HD 175541 b,298.43,129.603
HD 175607 b,29.01,40.3303
HD 17674 b,623.8,44.4264
HD 176986 b,6.4898,27.7843
HD 176986 c,16.8191,27.7843
HD 177565 b,44.505,16.9179
HD 177830 b,410.10001,62.7674
HD 177830 c,110.9,62.7674
